cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
1458,1509 PVR Six3 Sox3 Gaba_2,0412 PVR Six3 Sox3 Gaba_2,089 PVR Six3 Sox3 Gaba,11 CNU-HYa GABA,GABA,1,0.0,0.0,0.0
1465,1610 SCH Six6 Cdc14a Gaba_1,0436 SCH Six6 Cdc14a Gaba_1,094 SCH Six6 Cdc14a Gaba,12 HY GABA,GABA,1,7.250747,7.250747,1.0
1470,2564 HY Gnrh1 Glut_1,0628 HY Gnrh1 Glut_1,142 HY Gnrh1 Glut,15 HY Gnrh1 Glut,Glut,1,5.7422566,5.7422566,1.0
1472,1683 SBPV-PVa Six6 Satb2 Gaba_1,0453 SBPV-PVa Six6 Satb2 Gaba_1,099 SBPV-PVa Six6 Satb2 Gaba,12 HY GABA,Dopa,1,0.0,0.0,0.0
1474,1685 SBPV-PVa Six6 Satb2 Gaba_1,0453 SBPV-PVa Six6 Satb2 Gaba_1,099 SBPV-PVa Six6 Satb2 Gaba,12 HY GABA,GABA,1,0.0,0.0,0.0
1476,1697 SBPV-PVa Six6 Satb2 Gaba_3,0455 SBPV-PVa Six6 Satb2 Gaba_3,099 SBPV-PVa Six6 Satb2 Gaba,12 HY GABA,GABA,1,0.0,0.0,0.0
1481,1686 SBPV-PVa Six6 Satb2 Gaba_1,0453 SBPV-PVa Six6 Satb2 Gaba_1,099 SBPV-PVa Six6 Satb2 Gaba,12 HY GABA,GABA,1,7.189316,7.189316,1.0
1482,1687 SBPV-PVa Six6 Satb2 Gaba_1,0453 SBPV-PVa Six6 Satb2 Gaba_1,099 SBPV-PVa Six6 Satb2 Gaba,12 HY GABA,GABA,1,0.0,0.0,0.0
1485,1571 ARH-PVi Six6 Dopa-Gaba_1,0427 ARH-PVi Six6 Dopa-Gaba_1,091 ARH-PVi Six6 Dopa-Gaba,12 HY GABA,Dopa,1,5.277455,5.277455,1.0
1488,1648 AHN-SBPV-PVHd Pdrm12 Gaba_1,0446 AHN-SBPV-PVHd Pdrm12 Gaba_1,098 AHN-SBPV-PVHd Pdrm12 Gaba,12 HY GABA,GABA,1,5.2896175,5.2896175,1.0
1505,1662 AHN-SBPV-PVHd Pdrm12 Gaba_3,0448 AHN-SBPV-PVHd Pdrm12 Gaba_3,098 AHN-SBPV-PVHd Pdrm12 Gaba,12 HY GABA,GABA,1,0.0,0.0,0.0
1511,1675 AHN-SBPV-PVHd Pdrm12 Gaba_6,0451 AHN-SBPV-PVHd Pdrm12 Gaba_6,098 AHN-SBPV-PVHd Pdrm12 Gaba,12 HY GABA,GABA,1,6.340363,6.340363,1.0
1514,1551 BST-MPN Six3 Nrgn Gaba_5,0424 BST-MPN Six3 Nrgn Gaba_5,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,29,2.798531,0.0,0.4827586206896552
1515,1552 BST-MPN Six3 Nrgn Gaba_5,0424 BST-MPN Six3 Nrgn Gaba_5,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,33,4.4074244,5.96292,0.696969696969697
1516,1553 BST-MPN Six3 Nrgn Gaba_5,0424 BST-MPN Six3 Nrgn Gaba_5,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,11,3.0548384,4.7822385,0.5454545454545454
1517,1556 BST-MPN Six3 Nrgn Gaba_5,0424 BST-MPN Six3 Nrgn Gaba_5,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,56,3.643438,5.026042,0.5714285714285714
1518,1554 BST-MPN Six3 Nrgn Gaba_5,0424 BST-MPN Six3 Nrgn Gaba_5,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,91,2.6815975,0.0,0.45054945054945056
1519,1547 BST-MPN Six3 Nrgn Gaba_4,0423 BST-MPN Six3 Nrgn Gaba_4,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,34,4.016341,5.2714014,0.6176470588235294
1520,1540 BST-MPN Six3 Nrgn Gaba_2,0421 BST-MPN Six3 Nrgn Gaba_2,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,5,4.916222,5.778763,0.8
1521,1562 BST-MPN Six3 Nrgn Gaba_6,0425 BST-MPN Six3 Nrgn Gaba_6,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,51,4.5427976,5.5582395,0.7450980392156863
1522,1563 BST-MPN Six3 Nrgn Gaba_6,0425 BST-MPN Six3 Nrgn Gaba_6,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,67,4.129994,5.477053,0.6865671641791045
1523,1315 CEA-BST Gal Avp Gaba_1,0363 CEA-BST Gal Avp Gaba_1,077 CEA-BST Gal Avp Gaba,11 CNU-HYa GABA,GABA,79,4.3835235,5.275279,0.7468354430379747
1524,1316 CEA-BST Gal Avp Gaba_1,0363 CEA-BST Gal Avp Gaba_1,077 CEA-BST Gal Avp Gaba,11 CNU-HYa GABA,GABA,116,4.8273735,5.555152,0.8275862068965517
1525,1548 BST-MPN Six3 Nrgn Gaba_4,0423 BST-MPN Six3 Nrgn Gaba_4,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,20,4.2865806,5.6194963,0.7
1527,1543 BST-MPN Six3 Nrgn Gaba_3,0422 BST-MPN Six3 Nrgn Gaba_3,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,14,2.0805058,0.0,0.35714285714285715
1529,1545 BST-MPN Six3 Nrgn Gaba_3,0422 BST-MPN Six3 Nrgn Gaba_3,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,1,0.0,0.0,0.0
1534,1498 BST Tac2 Gaba_1,0409 BST Tac2 Gaba_1,088 BST Tac2 Gaba,11 CNU-HYa GABA,GABA,4,6.189185,5.9384346,1.0
1535,1557 BST-MPN Six3 Nrgn Gaba_5,0424 BST-MPN Six3 Nrgn Gaba_5,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,38,3.322653,5.02215,0.5263157894736842
1537,1414 BST-SI-AAA Six3 Slc22a3 Gaba_2,0395 BST-SI-AAA Six3 Slc22a3 Gaba_2,084 BST-SI-AAA Six3 Slc22a3 Gaba,11 CNU-HYa GABA,GABA,8,2.779418,2.5090187,0.5
1538,1560 BST-MPN Six3 Nrgn Gaba_6,0425 BST-MPN Six3 Nrgn Gaba_6,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,101,4.1674147,5.337349,0.7128712871287128
1539,1564 BST-MPN Six3 Nrgn Gaba_6,0425 BST-MPN Six3 Nrgn Gaba_6,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,73,3.5815592,5.095947,0.6027397260273972
1540,1411 BST-SI-AAA Six3 Slc22a3 Gaba_1,0394 BST-SI-AAA Six3 Slc22a3 Gaba_1,084 BST-SI-AAA Six3 Slc22a3 Gaba,11 CNU-HYa GABA,GABA,25,5.0706744,5.4123397,0.88
1541,1412 BST-SI-AAA Six3 Slc22a3 Gaba_1,0394 BST-SI-AAA Six3 Slc22a3 Gaba_1,084 BST-SI-AAA Six3 Slc22a3 Gaba,11 CNU-HYa GABA,GABA,93,3.6031392,4.961181,0.6129032258064516
1543,1416 BST-SI-AAA Six3 Slc22a3 Gaba_2,0395 BST-SI-AAA Six3 Slc22a3 Gaba_2,084 BST-SI-AAA Six3 Slc22a3 Gaba,11 CNU-HYa GABA,GABA,11,3.82668,5.4084783,0.6363636363636364
1544,1413 BST-SI-AAA Six3 Slc22a3 Gaba_1,0394 BST-SI-AAA Six3 Slc22a3 Gaba_1,084 BST-SI-AAA Six3 Slc22a3 Gaba,11 CNU-HYa GABA,GABA,47,3.8083677,5.135624,0.6382978723404256
1545,1417 BST-SI-AAA Six3 Slc22a3 Gaba_2,0395 BST-SI-AAA Six3 Slc22a3 Gaba_2,084 BST-SI-AAA Six3 Slc22a3 Gaba,11 CNU-HYa GABA,GABA,60,3.679672,4.8942213,0.65
1547,1494 BST Tac2 Gaba_1,0409 BST Tac2 Gaba_1,088 BST Tac2 Gaba,11 CNU-HYa GABA,GABA,6,5.053563,5.879093,0.8333333333333334
1548,1495 BST Tac2 Gaba_1,0409 BST Tac2 Gaba_1,088 BST Tac2 Gaba,11 CNU-HYa GABA,GABA,58,3.0051577,4.2509522,0.5172413793103449
1550,1497 BST Tac2 Gaba_1,0409 BST Tac2 Gaba_1,088 BST Tac2 Gaba,11 CNU-HYa GABA,GABA,8,2.8195202,2.5343475,0.5
1555,1461 MPO-ADP Lhx8 Gaba_2,0403 MPO-ADP Lhx8 Gaba_2,086 MPO-ADP Lhx8 Gaba,11 CNU-HYa GABA,GABA,1,6.618007,6.618007,1.0
1557,1462 MPO-ADP Lhx8 Gaba_2,0403 MPO-ADP Lhx8 Gaba_2,086 MPO-ADP Lhx8 Gaba,11 CNU-HYa GABA,GABA,2,2.2510836,2.2510836,0.5
1559,1476 MPO-ADP Lhx8 Gaba_4,0405 MPO-ADP Lhx8 Gaba_4,086 MPO-ADP Lhx8 Gaba,11 CNU-HYa GABA,GABA,1,6.340306,6.340306,1.0
1561,1463 MPO-ADP Lhx8 Gaba_2,0403 MPO-ADP Lhx8 Gaba_2,086 MPO-ADP Lhx8 Gaba,11 CNU-HYa GABA,GABA,3,3.8823922,5.2146316,0.6666666666666666
1564,1481 MPO-ADP Lhx8 Gaba_5,0406 MPO-ADP Lhx8 Gaba_5,086 MPO-ADP Lhx8 Gaba,11 CNU-HYa GABA,GABA,5,2.8055515,0.0,0.4
1566,1472 MPO-ADP Lhx8 Gaba_4,0405 MPO-ADP Lhx8 Gaba_4,086 MPO-ADP Lhx8 Gaba,11 CNU-HYa GABA,GABA,1,0.0,0.0,0.0
1567,1473 MPO-ADP Lhx8 Gaba_4,0405 MPO-ADP Lhx8 Gaba_4,086 MPO-ADP Lhx8 Gaba,11 CNU-HYa GABA,GABA,10,4.233515,5.7338343,0.7
1570,1464 MPO-ADP Lhx8 Gaba_2,0403 MPO-ADP Lhx8 Gaba_2,086 MPO-ADP Lhx8 Gaba,11 CNU-HYa GABA,GABA,1,6.295529,6.295529,1.0
1571,1457 MPO-ADP Lhx8 Gaba_1,0402 MPO-ADP Lhx8 Gaba_1,086 MPO-ADP Lhx8 Gaba,11 CNU-HYa GABA,GABA,23,3.3310215,4.857992,0.5652173913043478
1572,1482 MPO-ADP Lhx8 Gaba_5,0406 MPO-ADP Lhx8 Gaba_5,086 MPO-ADP Lhx8 Gaba,11 CNU-HYa GABA,GABA,1,6.647161,6.647161,1.0
1573,1458 MPO-ADP Lhx8 Gaba_1,0402 MPO-ADP Lhx8 Gaba_1,086 MPO-ADP Lhx8 Gaba,11 CNU-HYa GABA,GABA,2,2.5210564,2.5210564,0.5
1578,1483 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_1,0407 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_1,087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,11 CNU-HYa GABA,GABA,37,3.793448,5.068877,0.6216216216216216
1579,1489 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_2,0408 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_2,087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,11 CNU-HYa GABA,GABA,6,4.5809283,6.4438515,0.6666666666666666
1580,1267 MEA-BST Lhx6 Sp9 Gaba_7,0353 MEA-BST Lhx6 Sp9 Gaba_7,074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,47,4.1028547,5.743968,0.6595744680851063
1581,1268 MEA-BST Lhx6 Sp9 Gaba_7,0353 MEA-BST Lhx6 Sp9 Gaba_7,074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,9,3.1198282,4.9340057,0.5555555555555556
1582,1484 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_1,0407 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_1,087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,11 CNU-HYa GABA,GABA,15,4.1988378,5.297948,0.7333333333333333
1583,1485 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_1,0407 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_1,087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,11 CNU-HYa GABA,GABA,56,4.520365,5.5346546,0.75
1585,1486 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_1,0407 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_1,087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,11 CNU-HYa GABA,GABA,26,3.8263712,5.7182293,0.6153846153846154
1588,1490 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_2,0408 MPN-MPO-LPO Lhx6 Zfhx3 Gaba_2,087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,11 CNU-HYa GABA,GABA,8,4.2275653,5.2620435,0.75
1589,1520 PVR Six3 Sox3 Gaba_5,0415 PVR Six3 Sox3 Gaba_5,089 PVR Six3 Sox3 Gaba,11 CNU-HYa GABA,GABA,20,3.950742,5.5245256,0.65
1590,1104 LSX Nkx2-1 Gaba_7,0312 LSX Nkx2-1 Gaba_7,069 LSX Nkx2-1 Gaba,10 LSX GABA,GABA,16,4.1448545,5.53182,0.6875
1591,1521 PVR Six3 Sox3 Gaba_5,0415 PVR Six3 Sox3 Gaba_5,089 PVR Six3 Sox3 Gaba,11 CNU-HYa GABA,GABA,2,6.8957148,6.8957148,1.0
1592,1089 LSX Nkx2-1 Gaba_3,0308 LSX Nkx2-1 Gaba_3,069 LSX Nkx2-1 Gaba,10 LSX GABA,GABA,354,1.9455637,0.0,0.3220338983050847
1593,1090 LSX Nkx2-1 Gaba_3,0308 LSX Nkx2-1 Gaba_3,069 LSX Nkx2-1 Gaba,10 LSX GABA,GABA,37,3.1788046,5.0500016,0.5405405405405406
1594,1555 BST-MPN Six3 Nrgn Gaba_5,0424 BST-MPN Six3 Nrgn Gaba_5,090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,90,2.2355366,0.0,0.37777777777777777
1595,1091 LSX Nkx2-1 Gaba_3,0308 LSX Nkx2-1 Gaba_3,069 LSX Nkx2-1 Gaba,10 LSX GABA,GABA,186,2.2203453,0.0,0.3655913978494624
1596,1523 PVR Six3 Sox3 Gaba_6,0416 PVR Six3 Sox3 Gaba_6,089 PVR Six3 Sox3 Gaba,11 CNU-HYa GABA,GABA,28,4.2710576,5.596981,0.7142857142857143
1597,2065 MS-SF Bsx Glut_1,0518 MS-SF Bsx Glut_1,115 MS-SF Bsx Glut,13 CNU-HYa Glut,Glut,4,4.589864,6.0289187,0.75
1598,2054 MS-SF Bsx Glut_1,0518 MS-SF Bsx Glut_1,115 MS-SF Bsx Glut,13 CNU-HYa Glut,Glut,4,4.45954,5.497535,0.75
1599,2070 MS-SF Bsx Glut_1,0518 MS-SF Bsx Glut_1,115 MS-SF Bsx Glut,13 CNU-HYa Glut,Glut,45,2.849521,4.34939,0.5111111111111111
1600,1522 PVR Six3 Sox3 Gaba_5,0415 PVR Six3 Sox3 Gaba_5,089 PVR Six3 Sox3 Gaba,11 CNU-HYa GABA,GABA,6,5.632581,6.7579727,0.8333333333333334
1601,2066 MS-SF Bsx Glut_1,0518 MS-SF Bsx Glut_1,115 MS-SF Bsx Glut,13 CNU-HYa Glut,Glut,10,6.099456,6.7132425,0.9
