subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
145 MH Tac2 Glut,17 MH-LH Glut,Glut,1,5.1614795,5.1614795,1.0
203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,20 MB GABA,GABA,1,5.7081714,5.7081714,1.0
213 SCsg Gabrr2 Gaba,20 MB GABA,GABA,9,5.2987423,5.758188,0.8888888888888888
215 SNc-VTA-RAmb Foxa1 Dopa,21 MB Dopa,Dopa,1,0.0,0.0,0.0
318 Astro-NT NN,30 Astro-Epen,,190,3.8698952,6.083429,0.5157894736842106
319 Astro-TE NN,30 Astro-Epen,,39103,3.6193902,0.0,0.4901669948597294
319 Astro-TE NN,30 Astro-Epen,Glut,395,2.4144237,0.0,0.3468354430379747
321 Astroependymal NN,30 Astro-Epen,,39,2.7505827,0.0,0.358974358974359
322 Tanycyte NN,30 Astro-Epen,,3,6.9473786,7.1540356,1.0
323 Ependymal NN,30 Astro-Epen,,27,3.888212,5.6243305,0.5555555555555556
325 CHOR NN,30 Astro-Epen,,10,2.8438911,2.428723,0.5
325 CHOR NN,30 Astro-Epen,Glut,114,4.064351,5.3672724,0.6929824561403509
326 OPC NN,31 OPC-Oligo,,11949,7.382031,8.064677,0.914218763076408
327 Oligo NN,31 OPC-Oligo,,15068,7.893821,8.499781,0.934430581364481
329 ABC NN,33 Vascular,,400,5.755822,6.979925,0.78
330 VLMC NN,33 Vascular,,1768,3.4425259,0.0,0.4671945701357466
331 Peri NN,33 Vascular,,2839,2.721835,0.0,0.3321592109897851
332 SMC NN,33 Vascular,,1807,4.4200773,6.915662,0.5677919203099059
333 Endo NN,33 Vascular,,11300,3.918177,5.868597,0.5089380530973451
334 Microglia NN,34 Immune,,14029,3.8301475,0.0,0.4823579727706893
335 BAM NN,34 Immune,,1132,4.0100274,6.428727,0.5185512367491166
336 Monocytes NN,34 Immune,,3,0.0,0.0,0.0
337 DC NN,34 Immune,,32,2.954568,0.0,0.4375
338 Lymphoid NN,34 Immune,,51,0.9176762,0.0,0.11764705882352941
