subclass_name,mean_Kif13a_adult,mean_Kif13a_aged,median_Kif13a_adult,median_Kif13a_aged,fraction_expressing_adult,fraction_expressing_aged,n_cells_adult,n_cells_aged,n_donors_adult,n_donors_aged,delta_mean_aged_minus_adult,delta_median_aged_minus_adult,delta_fraction_aged_minus_adult
326 OPC NN,6.93508243560791,6.9698381423950195,7.829563617706299,7.807986736297607,0.8714315795806636,0.879494601926193,33243.0,54927.0,53.0,44.0,0.034755706787109375,-0.021576881408691406,0.008063022345529358
327 Oligo NN,7.947872638702393,8.226858139038086,8.456070899963379,8.717042922973633,0.9464510332434861,0.9499651687178422,83475.0,81823.0,53.0,44.0,0.27898550033569336,0.2609720230102539,0.0035141354743560838
