cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
1003,1358 CEA-AAA-BST Six3 Sp9 Gaba_2,0374 CEA-AAA-BST Six3 Sp9 Gaba_2,080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,1,4.333084,4.333084,1.0
1004,1039 NDB-SI-ant Prdm12 Gaba_3,0297 NDB-SI-ant Prdm12 Gaba_3,066 NDB-SI-ant Prdm12 Gaba,11 CNU-HYa GABA,GABA,10,5.4557962,5.9865265,0.9
1017,1369 CEA-AAA-BST Six3 Sp9 Gaba_6,0378 CEA-AAA-BST Six3 Sp9 Gaba_6,080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,1,4.517974,4.517974,1.0
1018,1349 CEA-AAA-BST Six3 Sp9 Gaba_1,0373 CEA-AAA-BST Six3 Sp9 Gaba_1,080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,10,5.5334544,6.8098874,0.8
1020,1350 CEA-AAA-BST Six3 Sp9 Gaba_1,0373 CEA-AAA-BST Six3 Sp9 Gaba_1,080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,2,0.0,0.0,0.0
1022,1040 NDB-SI-ant Prdm12 Gaba_3,0297 NDB-SI-ant Prdm12 Gaba_3,066 NDB-SI-ant Prdm12 Gaba,11 CNU-HYa GABA,GABA,12,2.7506523,2.484348,0.5
1024,1372 CEA-AAA-BST Six3 Sp9 Gaba_8,0380 CEA-AAA-BST Six3 Sp9 Gaba_8,080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,9,1.3996474,0.0,0.2222222222222222
1027,1355 CEA-AAA-BST Six3 Sp9 Gaba_2,0374 CEA-AAA-BST Six3 Sp9 Gaba_2,080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,2,6.793723,6.793723,1.0
1029,1363 CEA-AAA-BST Six3 Sp9 Gaba_4,0376 CEA-AAA-BST Six3 Sp9 Gaba_4,080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,3,0.0,0.0,0.0
1032,1368 CEA-AAA-BST Six3 Sp9 Gaba_5,0377 CEA-AAA-BST Six3 Sp9 Gaba_5,080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,2,5.4269137,5.4269137,1.0
