cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
3184,3481 IC Six3 En2 Gaba_3,0809 IC Six3 En2 Gaba_3,198 IC Six3 En2 Gaba,20 MB GABA,GABA,1,6.663793,6.663793,1.0
3185,3476 IC Six3 En2 Gaba_1,0807 IC Six3 En2 Gaba_1,198 IC Six3 En2 Gaba,20 MB GABA,GABA,4,4.981924,6.495518,0.75
3186,3596 PRT Tcf7l2 Gaba_1,0829 PRT Tcf7l2 Gaba_1,202 PRT Tcf7l2 Gaba,20 MB GABA,GABA,7,3.5707376,4.7612066,0.7142857142857143
3238,3506 IC Six3 En2 Gaba_7,0813 IC Six3 En2 Gaba_7,198 IC Six3 En2 Gaba,20 MB GABA,GABA,8,3.8393154,5.6778517,0.625
3250,3627 PRT Tcf7l2 Gaba_4,0832 PRT Tcf7l2 Gaba_4,202 PRT Tcf7l2 Gaba,20 MB GABA,GABA,2,5.3045735,5.3045735,1.0
3252,3777 PRT Mecom Gaba_3,0866 PRT Mecom Gaba_3,210 PRT Mecom Gaba,20 MB GABA,GABA,1,6.6278296,6.6278296,1.0
3254,3780 PRT Mecom Gaba_3,0866 PRT Mecom Gaba_3,210 PRT Mecom Gaba,20 MB GABA,GABA,1,8.030581,8.030581,1.0
3267,3759 SCs Pax7 Nfia Gaba_5,0863 SCs Pax7 Nfia Gaba_5,209 SCs Pax7 Nfia Gaba,20 MB GABA,GABA,8,3.3053968,2.7884297,0.5
3273,3663 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6,0839 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6,203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,20 MB GABA,GABA,96,5.2140822,5.9396496,0.8541666666666666
3275,3664 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6,0839 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6,203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,20 MB GABA,GABA,29,4.3801913,5.5226874,0.6896551724137931
3278,3765 PRT Mecom Gaba_1,0864 PRT Mecom Gaba_1,210 PRT Mecom Gaba,20 MB GABA,GABA,1,0.0,0.0,0.0
3280,3760 PRT Mecom Gaba_1,0864 PRT Mecom Gaba_1,210 PRT Mecom Gaba,20 MB GABA,GABA,4,3.987254,5.205249,0.75
3281,3767 PRT Mecom Gaba_1,0864 PRT Mecom Gaba_1,210 PRT Mecom Gaba,20 MB GABA,GABA-Glyc,1,5.8802495,5.8802495,1.0
