cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
2854,3898 MB-MY Tph2 Glut-Sero_3,0890 MB-MY Tph2 Glut-Sero_3,216 MB-MY Tph2 Glut-Sero,22 MB-HB Sero,Glut,7,5.332946,6.037817,0.8571428571428571
2855,3899 MB-MY Tph2 Glut-Sero_3,0890 MB-MY Tph2 Glut-Sero_3,216 MB-MY Tph2 Glut-Sero,22 MB-HB Sero,Glut,4,6.437304,6.217678,1.0
2857,3890 MB-MY Tph2 Glut-Sero_2,0889 MB-MY Tph2 Glut-Sero_2,216 MB-MY Tph2 Glut-Sero,22 MB-HB Sero,Glut,114,4.476666,5.228117,0.7894736842105263
2858,3891 MB-MY Tph2 Glut-Sero_2,0889 MB-MY Tph2 Glut-Sero_2,216 MB-MY Tph2 Glut-Sero,22 MB-HB Sero,Glut,12,5.741307,5.7280064,1.0
2859,3892 MB-MY Tph2 Glut-Sero_2,0889 MB-MY Tph2 Glut-Sero_2,216 MB-MY Tph2 Glut-Sero,22 MB-HB Sero,Glut,11,5.3897095,5.9296026,0.9090909090909091
2860,3893 MB-MY Tph2 Glut-Sero_2,0889 MB-MY Tph2 Glut-Sero_2,216 MB-MY Tph2 Glut-Sero,22 MB-HB Sero,Glut,38,3.7981813,5.1574106,0.631578947368421
2861,3894 MB-MY Tph2 Glut-Sero_2,0889 MB-MY Tph2 Glut-Sero_2,216 MB-MY Tph2 Glut-Sero,22 MB-HB Sero,Glut,23,4.644575,5.585666,0.782608695652174
2862,3900 MB-MY Tph2 Glut-Sero_3,0890 MB-MY Tph2 Glut-Sero_3,216 MB-MY Tph2 Glut-Sero,22 MB-HB Sero,Glut,9,5.759653,5.450206,1.0
2863,3901 MB-MY Tph2 Glut-Sero_3,0890 MB-MY Tph2 Glut-Sero_3,216 MB-MY Tph2 Glut-Sero,22 MB-HB Sero,Glut,8,4.6407156,4.953603,0.875
2864,3895 MB-MY Tph2 Glut-Sero_2,0889 MB-MY Tph2 Glut-Sero_2,216 MB-MY Tph2 Glut-Sero,22 MB-HB Sero,Glut,75,4.6580825,5.6608753,0.76
2865,3896 MB-MY Tph2 Glut-Sero_3,0890 MB-MY Tph2 Glut-Sero_3,216 MB-MY Tph2 Glut-Sero,22 MB-HB Sero,Sero,5,5.8230805,5.972128,1.0
2914,3395 PPN-CUN-PCG Otp En1 Gaba_2,0793 PPN-CUN-PCG Otp En1 Gaba_2,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,Glut-GABA,20,4.7781587,5.5523663,0.8
2915,3396 PPN-CUN-PCG Otp En1 Gaba_2,0793 PPN-CUN-PCG Otp En1 Gaba_2,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,27,4.1878476,6.2512236,0.6666666666666666
2916,3402 PPN-CUN-PCG Otp En1 Gaba_3,0794 PPN-CUN-PCG Otp En1 Gaba_3,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,45,4.578487,5.679018,0.7555555555555555
