subclass,n_cells,cell_class,neurotransmitter,n_partitions,mean_Kif13a,fraction_expressing
006 L4/5 IT CTX Glut,83060,01 IT-ET Glut,Glut,5,2.6616703470659764,0.4742114134360703
050 Lamp5 Lhx6 Gaba,3440,07 CTX-MGE GABA,GABA,9,2.6378874520930236,0.4799418604651163
001 CLA-EPd-CTX Car3 Glut,2320,01 IT-ET Glut,Glut,6,2.608982849741379,0.4870689655172414
009 L2/3 IT PIR-ENTl Glut,10331,01 IT-ET Glut,Glut,7,2.608701013319137,0.494434227083535
004 L6 IT CTX Glut,24710,01 IT-ET Glut,Glut,8,2.587986873302307,0.47847025495750706
071 LSX Prdm12 Zeb2 Gaba,6585,10 LSX GABA,GABA,3,2.5565784361427486,0.455125284738041
013 COAp Grxcr2 Glut,682,01 IT-ET Glut,Glut,4,2.5546984300586515,0.4662756598240469
048 RHP-COA Ndnf Gaba,1704,06 CTX-CGE GABA,GABA,8,2.544456881161972,0.49647887323943657
037 DG Glut,14294,04 DG-IMN Glut,Glut,7,2.531913066489436,0.4352875332307261
007 L2/3 IT CTX Glut,49319,01 IT-ET Glut,Glut,7,2.489708781867029,0.4662706056489385
038 DG-PIR Ex IMN,1832,04 DG-IMN Glut,Glut,9,2.3608044318231443,0.33679039301310043
072 LSX Sall3 Lmo1 Gaba,2509,10 LSX GABA,GABA,3,2.292973779075329,0.3882024711040255
046 Vip Gaba,16700,06 CTX-CGE GABA,GABA,10,2.2177515681676647,0.36802395209580835
039 OB Meis2 Thsd7b Gaba,1500,05 OB-IMN GABA,GABA,5,2.2115512836000004,0.322
067 LSX Sall3 Pax6 Gaba,1100,10 LSX GABA,GABA,3,2.148091536363636,0.3518181818181818
047 Sncg Gaba,4595,06 CTX-CGE GABA,GABA,10,1.9782746002393907,0.38628944504896623
041 OB-in Frmd7 Gaba,33543,05 OB-IMN GABA,GABA,9,1.2675351007304059,0.19354261693945082
045 OB-STR-CTX Inh IMN,7857,05 OB-IMN GABA,,10,1.2034111736578845,0.17436680666921214
042 OB-out Frmd7 Gaba,4566,05 OB-IMN GABA,GABA,6,0.794113666432326,0.11279018834866396
040 OB Trdn Gaba,2243,05 OB-IMN GABA,GABA,5,0.656512470708872,0.09451627284886305
