subclass,n_cells,cell_class,neurotransmitter,n_partitions,mean_Kif13a,fraction_expressing
276 LDT-PCG St18 Gaba,1091,26 P GABA,GABA,4,4.766043290284143,0.7598533455545371
117 LHA Barhl2 Glut,778,13 CNU-HYa Glut,Glut,8,4.765489179691516,0.7827763496143959
285 MY Lhx1 Gly-Gaba,2455,27 MY GABA,GABA,5,4.761133768839104,0.7963340122199593
235 PG-TRN-LRN Fat2 Glut,3889,23 P Glut,Glut,5,4.756499442041656,0.8079197737207509
229 PB-NTS Phox2b Ebf3 Lmx1b Glut,883,23 P Glut,Glut,3,4.753203264665912,0.782559456398641
295 CBN Dmbx1 Gaba,3641,27 MY GABA,GABA,4,4.751001994507004,0.784674539961549
161 PAG Pou4f3 Glut,3090,19 MB Glut,Glut,2,4.745617904207119,0.7644012944983819
171 PAG Pou4f1 Bnc2 Glut,1973,19 MB Glut,Glut,3,4.740257059706031,0.7729346173340091
107 DMH Hmx2 Gaba,3333,12 HY GABA,GABA,5,4.734984609510951,0.7755775577557755
224 PCG-PRNr Vsx2 Nkx6-1 Glut,1912,23 P Glut,Glut,3,4.726149527458159,0.7698744769874477
199 PAG-MRN-RN Foxa2 Gaba,1599,20 MB GABA,GABA,3,4.718408177923702,0.7879924953095685
201 PAG-RN Nkx2-2 Otx1 Gaba,3440,20 MB GABA,GABA-Glyc,4,4.698692105523255,0.7709302325581395
104 TU-ARH Otp Six6 Gaba,3511,12 HY GABA,GABA,3,4.688263650156651,0.779549985759043
273 PDTg-PCG Pax6 Gaba,3086,26 P GABA,GABA,3,4.670260961179521,0.7508101101749838
125 DMH Hmx2 Glut,1287,14 HY Glut,Glut,6,4.669597322921523,0.7668997668997669
093 RT-ZI Gnb3 Gaba,3943,12 HY GABA,GABA,6,4.658206196931271,0.7722546284554908
167 PRC-PAG Tcf7l2 Irx2 Glut,2972,19 MB Glut,Glut,7,4.64271063923284,0.753028263795424
138 PH Pitx2 Glut,986,14 HY Glut,Glut,8,4.640082831237322,0.781947261663286
170 PAG-MRN Tfap2b Glut,3632,19 MB Glut,Glut,6,4.639798919383259,0.7670704845814978
195 SNr-VTA Pax5 Npas1 Gaba,753,20 MB GABA,GABA,5,4.628655934926959,0.8406374501992032
137 PH-an Pitx2 Glut,513,14 HY Glut,Glut,4,4.618056229434698,0.7524366471734892
180 SCiw Pitx2 Glut,3419,19 MB Glut,Glut,5,4.607646419830361,0.7554840596665692
228 PSV Pvalb Lhx2 Glut,1052,23 P Glut,Glut,4,4.587401291920152,0.7461977186311787
105 TMd-DMH Foxd2 Gaba,1141,12 HY GABA,GABA,2,4.583016510078878,0.7414548641542507
141 PH-SUM Foxa1 Glut,1464,14 HY Glut,Glut,5,4.579507249385246,0.7752732240437158
150 CM-IAD-CL-PCN Sema5b Glut,5234,18 TH Glut,Glut,4,4.578996540695452,0.8011081390905617
106 PVpo-VMPO-MPN Hmx2 Gaba,3770,12 HY GABA,GABA,4,4.578652188328912,0.7726790450928382
149 PVT-PT Ntrk1 Glut,6065,18 TH Glut,Glut,4,4.568469504369332,0.7873042044517725
159 IF-RL-CLI-PAG Foxa1 Glut,1560,19 MB Glut,Glut,3,4.564542584615384,0.7352564102564103
011 L2 IT ENT-po Glut,848,01 IT-ET Glut,Glut,2,4.558845718160377,0.8183962264150944
089 PVR Six3 Sox3 Gaba,2720,11 CNU-HYa GABA,GABA,3,4.547657265514705,0.7242647058823529
177 SCig-an-PPT Foxb1 Glut,2095,19 MB Glut,Glut,2,4.546263511789976,0.7236276849642005
205 SC-PAG Lef1 Emx2 Gaba,6341,20 MB GABA,GABA,4,4.532238846175682,0.7211796246648794
209 SCs Pax7 Nfia Gaba,2337,20 MB GABA,GABA,4,4.523936038254171,0.6863500213949508
173 PAG Pou4f2 Glut,6280,19 MB Glut,Glut,5,4.517861036464968,0.7378980891719745
221 LDT-PCG Vsx2 Lhx4 Glut,5207,23 P Glut,Glut,4,4.514764042788554,0.7211446130209334
174 PAG Pou4f2 Mesi2 Glut,4963,19 MB Glut,Glut,2,4.512619528974411,0.7451138424340117
029 L6b CTX Glut,2433,02 NP-CT-L6b Glut,Glut,7,4.511250296876284,0.7307850390464448
169 PAG-SC Pou4f1 Zic1 Glut,4159,19 MB Glut,Glut,4,4.510905590718922,0.740322192834816
165 PAG-MRN Pou3f1 Glut,3131,19 MB Glut,Glut,5,4.504173956978601,0.7563078888534015
213 SCsg Gabrr2 Gaba,8980,20 MB GABA,GABA,8,4.500414143997772,0.7079064587973274
176 SCig Foxb1 Glut,4667,19 MB Glut,Glut,3,4.49806405228198,0.7171630597814442
222 PB Evx2 Glut,4186,23 P Glut,Glut,6,4.495154857142857,0.7663640707118968
109 LGv-ZI Otx2 Gaba,2906,12 HY GABA,GABA,7,4.463920175017206,0.7219545767377838
220 PB Pax5 Glut,592,23 P Glut,Glut,4,4.461867672466216,0.7331081081081081
032 L5 NP CTX Glut,11653,02 NP-CT-L6b Glut,Glut,6,4.449599599304901,0.6757916416373466
086 MPO-ADP Lhx8 Gaba,2008,11 CNU-HYa GABA,GABA,5,4.438331809063746,0.7280876494023905
225 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut,1178,23 P Glut,Glut,3,4.435062354414262,0.7062818336162988
217 PB Lmx1a Glut,2422,23 P Glut,Glut,5,4.4349319940545,0.763418662262593
206 SCm-PAG Cdh23 Gaba,4424,20 MB GABA,GABA,6,4.431648755221519,0.7081826401446655
332 SMC NN,13705,33 Vascular,,13,4.424467163531558,0.569500182415177
115 MS-SF Bsx Glut,1123,13 CNU-HYa Glut,Glut,5,4.418085083793411,0.7266251113089938
182 CUN-PPN Evx2 Meis2 Glut,3513,19 MB Glut,Glut,4,4.4160871362653,0.7432393965271847
268 CS-PRNr-DR En1 Sox2 Gaba,1237,26 P GABA,GABA,3,4.412365601535974,0.7388843977364592
118 ADP-MPO Trp73 Glut,1032,13 CNU-HYa Glut,Glut,6,4.402140918023255,0.7248062015503876
155 PRC-PAG Pax6 Glut,2196,19 MB Glut,Glut,6,4.401176383424408,0.7167577413479053
196 PAG-PPN Pax5 Sox21 Gaba,2028,20 MB GABA,GABA,2,4.396591067061144,0.7327416173570019
179 SCdg-PAG Tfap2b Glut,1442,19 MB Glut,Glut,2,4.393987012690707,0.7212205270457698
194 MRN-VTN-PPN Pax5 Cdh23 Gaba,1230,20 MB GABA,GABA,3,4.381312269918698,0.748780487804878
172 PAG Pou4f1 Ebf2 Glut,7142,19 MB Glut,Glut,5,4.3729306290254835,0.7300476057126856
202 PRT Tcf7l2 Gaba,4472,20 MB GABA,GABA,6,4.370846053555456,0.7151162790697675
185 SCig Tfap2b Chrnb3 Glut,855,19 MB Glut,Glut,2,4.35568606502924,0.6842105263157895
308 DCO Il22 Gly-Gaba,1367,28 CB GABA,GABA-Glyc,4,4.3528464993416245,0.681784930504755
020 L2/3 IT RSP Glut,8442,01 IT-ET Glut,Glut,3,4.3508884007818045,0.7004264392324094
133 PVH-SO-PVa Otp Glut,2751,14 HY Glut,Glut,7,4.349907293929479,0.7273718647764449
210 PRT Mecom Gaba,2098,20 MB GABA,GABA,2,4.330204934366064,0.6901811248808389
203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,3482,20 MB GABA,GABA,7,4.32311627007467,0.7107983917288915
085 SI-MPO-LPO Lhx8 Gaba,2997,11 CNU-HYa GABA,GABA,4,4.30302725005005,0.7380714047380714
131 LHA-AHN-PVH Otp Trh Glut,1026,14 HY Glut,Glut,5,4.299579282846004,0.7339181286549707
231 IPN-LDT Vsx2 Nkx6-1 Glut,1008,23 P Glut,Glut,2,4.296607547619048,0.7103174603174603
023 SUB-ProS Glut,2279,01 IT-ET Glut,Glut,3,4.290566402544975,0.7959631417288284
211 SC Tnnt1 Gli3 Gaba,1131,20 MB GABA,GABA,2,4.276568426171529,0.6648983200707339
309 CB PLI Gly-Gaba,4470,28 CB GABA,GABA,4,4.264221302483222,0.6378076062639821
163 APN C1ql2 Glut,2275,19 MB Glut,Glut,3,4.261370309538462,0.6892307692307692
087 MPN-MPO-LPO Lhx6 Zfhx3 Gaba,1003,11 CNU-HYa GABA,GABA,3,4.242015751345962,0.7018943170488534
256 SPVC Mafa Glut,3388,24 MY Glut,Glut,1,4.224237,0.6688311688311688
