cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
1258,0518 OB Meis2 Thsd7b Gaba_1,0143 OB Meis2 Thsd7b Gaba_1,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,GABA,67,2.612063,0.0,0.373134328358209
1259,0999 STR D1 Sema5a Gaba_4,0284 STR D1 Sema5a Gaba_4,063 STR D1 Sema5a Gaba,09 CNU-LGE GABA,GABA,4,3.9102206,4.853467,0.75
1261,1003 STR-PAL Chst9 Gaba_1,0285 STR-PAL Chst9 Gaba_1,064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,128,3.480088,5.4657326,0.546875
1262,1009 STR-PAL Chst9 Gaba_3,0287 STR-PAL Chst9 Gaba_3,064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,303,3.9004965,5.5635247,0.6039603960396039
1263,1010 STR-PAL Chst9 Gaba_3,0287 STR-PAL Chst9 Gaba_3,064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,46,2.524177,0.0,0.41304347826086957
1264,1000 STR D1 Sema5a Gaba_4,0284 STR D1 Sema5a Gaba_4,063 STR D1 Sema5a Gaba,09 CNU-LGE GABA,GABA,150,4.1950526,5.600969,0.6733333333333333
1266,0992 STR D1 Sema5a Gaba_2,0282 STR D1 Sema5a Gaba_2,063 STR D1 Sema5a Gaba,09 CNU-LGE GABA,GABA,1,0.0,0.0,0.0
1268,0997 STR D1 Sema5a Gaba_3,0283 STR D1 Sema5a Gaba_3,063 STR D1 Sema5a Gaba,09 CNU-LGE GABA,GABA,14,3.58189,5.139205,0.5714285714285714
1270,0996 STR D1 Sema5a Gaba_2,0282 STR D1 Sema5a Gaba_2,063 STR D1 Sema5a Gaba,09 CNU-LGE GABA,GABA,7,3.8647761,6.109577,0.5714285714285714
1271,1004 STR-PAL Chst9 Gaba_2,0286 STR-PAL Chst9 Gaba_2,064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,7,3.7823474,5.5675836,0.5714285714285714
1272,0990 STR D1 Sema5a Gaba_1,0281 STR D1 Sema5a Gaba_1,063 STR D1 Sema5a Gaba,09 CNU-LGE GABA,GABA,11,2.7498527,0.0,0.45454545454545453
1273,0991 STR D1 Sema5a Gaba_1,0281 STR D1 Sema5a Gaba_1,063 STR D1 Sema5a Gaba,09 CNU-LGE GABA,GABA,5,6.8216767,6.736873,1.0
1274,1014 STR-PAL Chst9 Gaba_5,0289 STR-PAL Chst9 Gaba_5,064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,70,2.9781883,4.653447,0.5142857142857142
