donor_label,donor_age_category,donor_age,donor_sex,class_name,subclass_name,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
C57BL/6J-592557,aged,18M,M,31 OPC-Oligo,326 OPC NN,96,5.1144867,7.2502117,0.65625
C57BL/6J-592557,aged,18M,M,31 OPC-Oligo,327 Oligo NN,75,6.5122294,7.6327944,0.8133333333333334
C57BL/6J-592558,aged,18M,F,31 OPC-Oligo,326 OPC NN,268,7.4158783,7.9305325,0.9365671641791045
C57BL/6J-592558,aged,18M,F,31 OPC-Oligo,327 Oligo NN,673,8.310924,8.814409,0.9554234769687965
Snap25-IRES2-Cre;Ai14-550848,adult,P59,M,31 OPC-Oligo,327 Oligo NN,2649,7.7571697,8.262524,0.9403548508871272
Snap25-IRES2-Cre;Ai14-550850,adult,P53,F,31 OPC-Oligo,326 OPC NN,656,7.1099286,7.991503,0.8810975609756098
Snap25-IRES2-Cre;Ai14-550850,adult,P53,F,31 OPC-Oligo,327 Oligo NN,1141,8.159335,8.687856,0.9526730937773883
Snap25-IRES2-Cre;Ai14-551016,adult,P59,M,31 OPC-Oligo,326 OPC NN,1314,7.263733,7.982908,0.9033485540334856
Snap25-IRES2-Cre;Ai14-551016,adult,P59,M,31 OPC-Oligo,327 Oligo NN,2717,7.73087,8.322179,0.9337504600662495
Snap25-IRES2-Cre;Ai14-551628,adult,P62,M,31 OPC-Oligo,326 OPC NN,1245,6.6125393,7.5224633,0.8602409638554217
Snap25-IRES2-Cre;Ai14-551628,adult,P62,M,31 OPC-Oligo,327 Oligo NN,2481,8.189452,8.565104,0.9641273679967755
Snap25-IRES2-Cre;Ai14-551629,adult,P61,F,31 OPC-Oligo,326 OPC NN,1709,7.2173076,7.932301,0.906377998829725
Snap25-IRES2-Cre;Ai14-551629,adult,P61,F,31 OPC-Oligo,327 Oligo NN,3362,8.233875,8.644148,0.9675788221296847
Snap25-IRES2-Cre;Ai14-553672,adult,P55,M,31 OPC-Oligo,326 OPC NN,406,6.8158574,7.5302753,0.8891625615763546
Snap25-IRES2-Cre;Ai14-553672,adult,P55,M,31 OPC-Oligo,327 Oligo NN,1347,7.7214413,8.065061,0.9606533036377134
Snap25-IRES2-Cre;Ai14-553676,adult,P54,F,31 OPC-Oligo,326 OPC NN,1063,6.607309,7.545386,0.8588899341486359
Snap25-IRES2-Cre;Ai14-553676,adult,P54,F,31 OPC-Oligo,327 Oligo NN,3758,8.258812,8.65003,0.9691325172964342
Snap25-IRES2-Cre;Ai14-553679,adult,P59,M,31 OPC-Oligo,326 OPC NN,189,7.5165195,8.184156,0.9206349206349206
Snap25-IRES2-Cre;Ai14-553679,adult,P59,M,31 OPC-Oligo,327 Oligo NN,371,7.7719693,8.452381,0.9353099730458221
Snap25-IRES2-Cre;Ai14-554815,adult,P54,F,31 OPC-Oligo,326 OPC NN,376,7.355686,7.9846888,0.9175531914893617
Snap25-IRES2-Cre;Ai14-554815,adult,P54,F,31 OPC-Oligo,327 Oligo NN,725,8.091352,8.596378,0.9544827586206897
Snap25-IRES2-Cre;Ai14-604611,adult,P64,F,31 OPC-Oligo,326 OPC NN,386,6.75719,7.7408843,0.8601036269430051
Snap25-IRES2-Cre;Ai14-604611,adult,P64,F,31 OPC-Oligo,327 Oligo NN,2148,7.9494395,8.471069,0.9445996275605214
Snap25-IRES2-Cre;Ai14-606115,adult,P61,M,31 OPC-Oligo,326 OPC NN,251,7.1517763,7.772646,0.9123505976095617
Snap25-IRES2-Cre;Ai14-606115,adult,P61,M,31 OPC-Oligo,327 Oligo NN,1398,8.287134,8.659356,0.969241773962804
Snap25-IRES2-Cre;Ai14-608855,adult,P69,M,31 OPC-Oligo,326 OPC NN,543,5.987583,7.3803983,0.7753222836095764
Snap25-IRES2-Cre;Ai14-608855,adult,P69,M,31 OPC-Oligo,327 Oligo NN,4100,8.083167,8.513457,0.958780487804878
Snap25-IRES2-Cre;Ai14-618176,adult,P65,M,31 OPC-Oligo,326 OPC NN,74,6.9549084,7.4922237,0.9054054054054054
Snap25-IRES2-Cre;Ai14-618176,adult,P65,M,31 OPC-Oligo,327 Oligo NN,179,7.8017335,8.448534,0.9273743016759777
Snap25-IRES2-Cre;Ai14-619870,adult,P60,F,31 OPC-Oligo,326 OPC NN,637,7.074086,8.051701,0.8681318681318682
Snap25-IRES2-Cre;Ai14-619870,adult,P60,F,31 OPC-Oligo,327 Oligo NN,518,7.551188,8.378399,0.8976833976833977
Snap25-IRES2-Cre;Ai14-621471,adult,P66,F,31 OPC-Oligo,326 OPC NN,31,8.170709,8.407175,1.0
Snap25-IRES2-Cre;Ai14-621471,adult,P66,F,31 OPC-Oligo,327 Oligo NN,22,8.095545,8.201423,1.0
