cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
1923,2241 MPN-MPO-PVpo Hmx2 Glut_2,0547 MPN-MPO-PVpo Hmx2 Glut_2,124 MPN-MPO-PVpo Hmx2 Glut,14 HY Glut,Glut,1,4.69753,4.69753,1.0
1924,2242 MPN-MPO-PVpo Hmx2 Glut_2,0547 MPN-MPO-PVpo Hmx2 Glut_2,124 MPN-MPO-PVpo Hmx2 Glut,14 HY Glut,Glut,1,6.325391,6.325391,1.0
1925,2243 MPN-MPO-PVpo Hmx2 Glut_2,0547 MPN-MPO-PVpo Hmx2 Glut_2,124 MPN-MPO-PVpo Hmx2 Glut,14 HY Glut,Glut,1,6.7610893,6.7610893,1.0
1929,2258 MPN-MPO-PVpo Hmx2 Glut_5,0550 MPN-MPO-PVpo Hmx2 Glut_5,124 MPN-MPO-PVpo Hmx2 Glut,14 HY Glut,Glut-GABA,2,6.651904,6.651904,1.0
1933,2239 MPN-MPO-PVpo Hmx2 Glut_1,0546 MPN-MPO-PVpo Hmx2 Glut_1,124 MPN-MPO-PVpo Hmx2 Glut,14 HY Glut,Glut,6,4.4760613,6.42869,0.6666666666666666
1935,2236 MPN-MPO-PVpo Hmx2 Glut_1,0546 MPN-MPO-PVpo Hmx2 Glut_1,124 MPN-MPO-PVpo Hmx2 Glut,14 HY Glut,Glut,7,4.4591455,5.8029833,0.7142857142857143
1938,2250 MPN-MPO-PVpo Hmx2 Glut_3,0548 MPN-MPO-PVpo Hmx2 Glut_3,124 MPN-MPO-PVpo Hmx2 Glut,14 HY Glut,Glut,15,4.9345264,6.07385,0.8
1947,2238 MPN-MPO-PVpo Hmx2 Glut_1,0546 MPN-MPO-PVpo Hmx2 Glut_1,124 MPN-MPO-PVpo Hmx2 Glut,14 HY Glut,Glut,27,3.3739882,4.8794184,0.5925925925925926
1956,2273 DMH Hmx2 Glut_2,0553 DMH Hmx2 Glut_2,125 DMH Hmx2 Glut,14 HY Glut,Glut,1,0.0,0.0,0.0
1961,1967 ARH-PVp Tbx3 Gaba_2,0494 ARH-PVp Tbx3 Gaba_2,108 ARH-PVp Tbx3 Gaba,12 HY GABA,GABA,1,5.586929,5.586929,1.0
1974,2276 ARH-PVp Tbx3 Glut_1,0554 ARH-PVp Tbx3 Glut_1,126 ARH-PVp Tbx3 Glut,14 HY Glut,Glut,2,6.1980047,6.1980047,1.0
2048,1813 DMH-LHA Gsx1 Gaba_4,0473 DMH-LHA Gsx1 Gaba_4,102 DMH-LHA Gsx1 Gaba,12 HY GABA,GABA,12,5.3022995,6.052761,0.8333333333333334
2054,1791 DMH-LHA Gsx1 Gaba_1,0470 DMH-LHA Gsx1 Gaba_1,102 DMH-LHA Gsx1 Gaba,12 HY GABA,GABA,1,0.0,0.0,0.0
2056,1795 DMH-LHA Gsx1 Gaba_2,0471 DMH-LHA Gsx1 Gaba_2,102 DMH-LHA Gsx1 Gaba,12 HY GABA,GABA,4,4.725558,5.9587536,0.75
2057,1796 DMH-LHA Gsx1 Gaba_2,0471 DMH-LHA Gsx1 Gaba_2,102 DMH-LHA Gsx1 Gaba,12 HY GABA,GABA,5,4.7325864,5.657723,0.8
2059,1797 DMH-LHA Gsx1 Gaba_2,0471 DMH-LHA Gsx1 Gaba_2,102 DMH-LHA Gsx1 Gaba,12 HY GABA,GABA,3,3.6393986,4.6586523,0.6666666666666666
2060,1798 DMH-LHA Gsx1 Gaba_2,0471 DMH-LHA Gsx1 Gaba_2,102 DMH-LHA Gsx1 Gaba,12 HY GABA,GABA,1,5.8763547,5.8763547,1.0
2061,1799 DMH-LHA Gsx1 Gaba_2,0471 DMH-LHA Gsx1 Gaba_2,102 DMH-LHA Gsx1 Gaba,12 HY GABA,GABA,9,4.0961537,5.777046,0.6666666666666666
2062,1800 DMH-LHA Gsx1 Gaba_2,0471 DMH-LHA Gsx1 Gaba_2,102 DMH-LHA Gsx1 Gaba,12 HY GABA,GABA,1,0.0,0.0,0.0
2066,1805 DMH-LHA Gsx1 Gaba_2,0471 DMH-LHA Gsx1 Gaba_2,102 DMH-LHA Gsx1 Gaba,12 HY GABA,GABA,5,4.215863,4.997795,0.8
2067,1808 DMH-LHA Gsx1 Gaba_2,0471 DMH-LHA Gsx1 Gaba_2,102 DMH-LHA Gsx1 Gaba,12 HY GABA,GABA,1,0.0,0.0,0.0
2101,1909 PVpo-VMPO-MPN Hmx2 Gaba_3,0484 PVpo-VMPO-MPN Hmx2 Gaba_3,106 PVpo-VMPO-MPN Hmx2 Gaba,12 HY GABA,GABA,1,6.8381066,6.8381066,1.0
2114,2325 LHA-AHN-PVH Otp Trh Glut_1,0574 LHA-AHN-PVH Otp Trh Glut_1,131 LHA-AHN-PVH Otp Trh Glut,14 HY Glut,Glut,4,3.3126721,3.1923647,0.5
2115,2099 LHA Barhl2 Glut_1,0524 LHA Barhl2 Glut_1,117 LHA Barhl2 Glut,13 CNU-HYa Glut,Glut,8,3.8696444,5.0845556,0.625
2119,2320 LHA Pmch Glut_1,0572 LHA Pmch Glut_1,130 LHA Pmch Glut,14 HY Glut,Glut,5,3.250805,5.004632,0.6
