subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,40,4.195316,4.95448,0.775
075 MEA-BST Lhx6 Nr2e1 Gaba,11 CNU-HYa GABA,GABA,153,3.5193048,4.8244805,0.6274509803921569
076 MEA-BST Lhx6 Nfib Gaba,11 CNU-HYa GABA,GABA,51,3.9139583,5.2424307,0.6666666666666666
077 CEA-BST Gal Avp Gaba,11 CNU-HYa GABA,GABA,1,8.086504,8.086504,1.0
078 SI-MA-ACB Ebf1 Bnc2 Gaba,11 CNU-HYa GABA,GABA,2,2.2157528,2.2157528,0.5
079 CEA-BST Six3 Cyp26b1 Gaba,11 CNU-HYa GABA,GABA,57,3.613216,5.006561,0.6140350877192983
080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,460,3.1414893,4.64626,0.55
081 ACB-BST-FS D1 Gaba,11 CNU-HYa GABA,GABA,16,2.618999,0.0,0.4375
081 ACB-BST-FS D1 Gaba,11 CNU-HYa GABA,Glut-GABA,3,2.7004824,3.9545588,0.6666666666666666
082 CEA-BST Ebf1 Pdyn Gaba,11 CNU-HYa GABA,GABA,16,3.9683247,5.3376513,0.6875
083 CEA-BST Rai14 Pdyn Crh Gaba,11 CNU-HYa GABA,GABA,5,4.1173673,5.2323475,0.8
084 BST-SI-AAA Six3 Slc22a3 Gaba,11 CNU-HYa GABA,GABA,4,5.6992073,5.833538,1.0
086 MPO-ADP Lhx8 Gaba,11 CNU-HYa GABA,GABA,1,5.725918,5.725918,1.0
090 BST-MPN Six3 Nrgn Gaba,11 CNU-HYa GABA,GABA,1,5.5853343,5.5853343,1.0
093 RT-ZI Gnb3 Gaba,12 HY GABA,GABA,2,0.0,0.0,0.0
113 MEA-COA-BMA Ccdc42 Glut,13 CNU-HYa Glut,Glut,593,3.2775087,4.699192,0.5750421585160203
114 COAa-PAA-MEA Barhl2 Glut,13 CNU-HYa Glut,Glut,594,2.7000968,3.7724102,0.5387205387205387
119 SI-MA-LPO-LHA Skor1 Glut,13 CNU-HYa Glut,Glut,10,4.6769447,5.4820385,0.8
120 MEA Otp Foxp2 Glut,13 CNU-HYa Glut,Glut,7,2.9714868,4.0303164,0.5714285714285714
121 MEA-BST Otp Zic2 Glut,13 CNU-HYa Glut,Glut,5,3.3718967,4.8645997,0.6
122 LHA-MEA Otp Glut,13 CNU-HYa Glut,Glut,4,0.0,0.0,0.0
131 LHA-AHN-PVH Otp Trh Glut,14 HY Glut,Glut,1,7.615775,7.615775,1.0
181 IC Tfap2d Maf Glut,19 MB Glut,Glut,1,6.00529,6.00529,1.0
318 Astro-NT NN,30 Astro-Epen,,662,4.352919,6.723778,0.5740181268882175
319 Astro-TE NN,30 Astro-Epen,,18905,4.1593733,6.3622556,0.5704839989420788
319 Astro-TE NN,30 Astro-Epen,Glut,2,0.0,0.0,0.0
323 Ependymal NN,30 Astro-Epen,,39,3.6924846,5.7079535,0.5128205128205128
326 OPC NN,31 OPC-Oligo,,7709,7.3048143,7.9823613,0.909456479439616
327 Oligo NN,31 OPC-Oligo,,7257,7.8451533,8.449203,0.9341325616645997
330 VLMC NN,33 Vascular,,196,3.041754,0.0,0.413265306122449
331 Peri NN,33 Vascular,,905,3.1915998,0.0,0.4022099447513812
332 SMC NN,33 Vascular,,428,4.5759096,6.815964,0.6051401869158879
333 Endo NN,33 Vascular,,3128,3.6211233,0.0,0.47058823529411764
334 Microglia NN,34 Immune,,6024,4.1292205,6.686489,0.5336985391766268
335 BAM NN,34 Immune,,166,4.161877,6.345295,0.5481927710843374
336 Monocytes NN,34 Immune,,1,0.0,0.0,0.0
337 DC NN,34 Immune,,11,4.611931,6.5561414,0.6363636363636364
338 Lymphoid NN,34 Immune,,10,0.0,0.0,0.0
