cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
309,0341 L2/3 IT PPP Glut_3,0086 L2/3 IT PPP Glut_3,019 L2/3 IT PPP Glut,01 IT-ET Glut,Glut,127,3.4142356,4.6791778,0.6141732283464567
310,0333 L2/3 IT PPP Glut_2,0085 L2/3 IT PPP Glut_2,019 L2/3 IT PPP Glut,01 IT-ET Glut,Glut,973,3.3944101,4.920212,0.590955806783145
311,0334 L2/3 IT PPP Glut_2,0085 L2/3 IT PPP Glut_2,019 L2/3 IT PPP Glut,01 IT-ET Glut,Glut,1121,3.7170448,4.962571,0.6503122212310437
312,0335 L2/3 IT PPP Glut_2,0085 L2/3 IT PPP Glut_2,019 L2/3 IT PPP Glut,01 IT-ET Glut,Glut,3864,3.9649222,5.098181,0.6884057971014492
313,0336 L2/3 IT PPP Glut_2,0085 L2/3 IT PPP Glut_2,019 L2/3 IT PPP Glut,01 IT-ET Glut,Glut,685,3.258217,4.8240237,0.5620437956204379
314,0343 L2/3 IT RSP Glut_2,0088 L2/3 IT RSP Glut_2,020 L2/3 IT RSP Glut,01 IT-ET Glut,Glut,99,3.7089899,5.601903,0.5757575757575758
315,0344 L2/3 IT RSP Glut_2,0088 L2/3 IT RSP Glut_2,020 L2/3 IT RSP Glut,01 IT-ET Glut,Glut,22,3.5245016,5.404422,0.5454545454545454
317,0346 L2/3 IT RSP Glut_2,0088 L2/3 IT RSP Glut_2,020 L2/3 IT RSP Glut,01 IT-ET Glut,Glut,115,3.6032372,5.3691425,0.591304347826087
318,0293 CA1-ProS Glut_6,0074 CA1-ProS Glut_6,016 CA1-ProS Glut,01 IT-ET Glut,Glut,274,4.5654263,5.2678576,0.8321167883211679
319,0294 CA1-ProS Glut_6,0074 CA1-ProS Glut_6,016 CA1-ProS Glut,01 IT-ET Glut,Glut,190,5.0780487,5.68536,0.8736842105263158
320,0260 ENTmv-PA-COAp Glut_3,0068 ENTmv-PA-COAp Glut_3,015 ENTmv-PA-COAp Glut,01 IT-ET Glut,Glut,60,3.2178724,4.2279058,0.6
321,0259 ENTmv-PA-COAp Glut_3,0068 ENTmv-PA-COAp Glut_3,015 ENTmv-PA-COAp Glut,01 IT-ET Glut,Glut,93,4.182656,5.299458,0.7419354838709677
322,0257 ENTmv-PA-COAp Glut_2,0067 ENTmv-PA-COAp Glut_2,015 ENTmv-PA-COAp Glut,01 IT-ET Glut,Glut,35,4.679392,5.1756773,0.8857142857142857
323,0258 ENTmv-PA-COAp Glut_2,0067 ENTmv-PA-COAp Glut_2,015 ENTmv-PA-COAp Glut,01 IT-ET Glut,Glut,56,4.2457867,5.122177,0.7678571428571429
324,0252 ENTmv-PA-COAp Glut_1,0066 ENTmv-PA-COAp Glut_1,015 ENTmv-PA-COAp Glut,01 IT-ET Glut,Glut,13,2.022601,0.0,0.38461538461538464
325,0255 ENTmv-PA-COAp Glut_1,0066 ENTmv-PA-COAp Glut_1,015 ENTmv-PA-COAp Glut,01 IT-ET Glut,Glut,8,5.816179,5.697478,1.0
326,0398 L5 PPP Glut_1,0099 L5 PPP Glut_1,024 L5 PPP Glut,01 IT-ET Glut,Glut,214,3.6068938,4.6682005,0.6728971962616822
327,0261 CA1-ProS Glut_1,0069 CA1-ProS Glut_1,016 CA1-ProS Glut,01 IT-ET Glut,Glut,140,2.5696518,3.7685947,0.5214285714285715
