subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
240 MDRNv Lhx4 Qrfprl Glut,24 MY Glut,Glut,74,3.88104,5.351961,0.6351351351351351
241 NTS Mbnl3 Glut,24 MY Glut,Glut,162,4.456781,5.636602,0.7098765432098766
242 PGRNd Dmbx1 Glut,24 MY Glut,Chol,62,3.8896997,5.1248055,0.6612903225806451
242 PGRNd Dmbx1 Glut,24 MY Glut,Glut,19,3.8443615,5.210959,0.6842105263157895
243 PGRN-PARN-MDRN Hoxb5 Glut,24 MY Glut,Chol,123,5.403064,6.2891645,0.8455284552845529
243 PGRN-PARN-MDRN Hoxb5 Glut,24 MY Glut,Glut,2876,5.193126,6.0070786,0.8337969401947148
243 PGRN-PARN-MDRN Hoxb5 Glut,24 MY Glut,Glut-GABA,16,5.6031284,6.314142,0.875
244 MV-SPIV Slc6a2 Glut,24 MY Glut,Glut,467,5.359538,6.0594,0.8715203426124197
245 SPVI-SPVC Tlx3 Ebf3 Glut,24 MY Glut,Glut,2940,4.8038535,5.9123125,0.7636054421768708
246 CU-ECU-SPVI Foxb1 Glut,24 MY Glut,Glut,1612,5.3695636,6.0990715,0.8610421836228288
247 MV-SPIV Phox2b Ebf3 Lbx1 Glut,24 MY Glut,Glut,708,5.084164,6.074733,0.7980225988700564
248 MV-SPIV Zic4 Neurod2 Glut,24 MY Glut,Chol,24,3.5377,4.6086483,0.7083333333333334
248 MV-SPIV Zic4 Neurod2 Glut,24 MY Glut,Glut,1936,5.354033,6.1277266,0.8558884297520661
249 NTS Aldh1a2 Glut,24 MY Glut,Glut,205,4.622008,5.599821,0.7853658536585366
250 CBN Neurod2 Pvalb Glut,24 MY Glut,Glut,75,5.996575,6.3954988,0.9333333333333333
251 NTS Dbh Glut,24 MY Glut,Glut,1046,6.75159,7.16867,0.9455066921606119
251 NTS Dbh Glut,24 MY Glut,Nora,610,4.958729,6.0780544,0.7655737704918033
252 DMX VII Tbx20 Chol,24 MY Glut,Chol,300,5.021969,5.657736,0.89
253 IO Fgl2 Glut,24 MY Glut,Glut,142,4.785581,5.5400524,0.8591549295774648
254 VCO Mafa Meis2 Glut,24 MY Glut,Glut,128,5.559483,6.1278133,0.8828125
255 SPVO Mafa Meis2 Glut,24 MY Glut,Glut,125,5.658352,6.5176673,0.856
256 SPVC Mafa Glut,24 MY Glut,Glut,3388,4.224237,5.6900578,0.6688311688311688
257 SPVC Ccdc172 Glut,24 MY Glut,Glut,592,5.404148,6.625494,0.7753378378378378
258 SPVC Nmu Glut,24 MY Glut,Glut,960,4.7721925,6.003339,0.7354166666666667
259 MDRNd Bves Glut,24 MY Glut,Glut,142,5.134398,5.743886,0.823943661971831
260 MDRNv Crp Glut,24 MY Glut,Glut,119,3.9637687,4.97604,0.7142857142857143
261 HB Calcb Chol,24 MY Glut,Chol,11,0.5997176,0.0,0.09090909090909091
263 CS-RPO Meis2 Gaba,26 P GABA,GABA,28,4.7748666,5.9015617,0.7142857142857143
263 CS-RPO Meis2 Gaba,26 P GABA,GABA-Glyc,13,3.936925,5.5263734,0.6153846153846154
263 CS-RPO Meis2 Gaba,26 P GABA,Glut-GABA,13,4.798352,5.9189243,0.7692307692307693
264 PRNc Otp Gly-Gaba,26 P GABA,GABA,3,4.8455215,7.2025304,0.6666666666666666
264 PRNc Otp Gly-Gaba,26 P GABA,GABA-Glyc,239,5.1673093,6.046623,0.8075313807531381
265 PB Sst Gly-Gaba,26 P GABA,GABA-Glyc,42,4.9332848,5.800395,0.8095238095238095
266 PRNc Prox1 Brs3 Gly-Gaba,26 P GABA,GABA-Glyc,119,5.7798376,6.4723444,0.8739495798319328
267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,8,5.749103,6.6976337,0.875
268 CS-PRNr-DR En1 Sox2 Gaba,26 P GABA,GABA,2,7.002529,7.002529,1.0
269 LDT Fgf7 Gaba,26 P GABA,GABA,20,5.526225,5.9857826,0.9
270 LDT-DTN Gata3 Nfix Gaba,26 P GABA,GABA,1,6.098926,6.098926,1.0
271 NI-RPO Gata3 Nr4a2 Gaba,26 P GABA,GABA,27,4.8555865,5.8032165,0.7777777777777778
271 NI-RPO Gata3 Nr4a2 Gaba,26 P GABA,Glut,17,5.300312,5.8684745,0.8823529411764706
271 NI-RPO Gata3 Nr4a2 Gaba,26 P GABA,Glut-GABA,24,4.9977045,6.1572175,0.7916666666666666
272 LDT-PCG-CS Gata3 Lhx1 Gaba,26 P GABA,GABA,19,3.8509257,5.0722547,0.6842105263157895
272 LDT-PCG-CS Gata3 Lhx1 Gaba,26 P GABA,Glut-GABA,10,6.207854,6.2617784,1.0
