cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
2165,3005 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_12,0729 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut_12,168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,19 MB Glut,Glut,3,3.813165,4.9414124,0.6666666666666666
2167,2508 PH-LHA Foxb1 Glut_2,0613 PH-LHA Foxb1 Glut_2,139 PH-LHA Foxb1 Glut,14 HY Glut,Glut,7,4.6345034,6.273664,0.7142857142857143
2169,2502 PH-LHA Foxb1 Glut_1,0612 PH-LHA Foxb1 Glut_1,139 PH-LHA Foxb1 Glut,14 HY Glut,Glut,7,4.4106584,6.1200657,0.7142857142857143
2170,2766 MRN-PAG Nkx6-1 Glut_2,0684 MRN-PAG Nkx6-1 Glut_2,158 MRN-PAG Nkx6-1 Glut,19 MB Glut,Glut,44,4.3481946,5.75381,0.7045454545454546
2173,5000 CBN Dmbx1 Gaba_1,1115 CBN Dmbx1 Gaba_1,295 CBN Dmbx1 Gaba,27 MY GABA,GABA,2,6.0967393,6.0967393,1.0
2174,5001 CBN Dmbx1 Gaba_1,1115 CBN Dmbx1 Gaba_1,295 CBN Dmbx1 Gaba,27 MY GABA,GABA,1,6.2904572,6.2904572,1.0
2175,2754 MB-ant-ve Dmrta2 Glut_1,0681 MB-ant-ve Dmrta2 Glut_1,156 MB-ant-ve Dmrta2 Glut,19 MB Glut,Glut,179,4.9211335,5.740807,0.8212290502793296
2179,2742 PRC-PAG Pax6 Glut_3,0678 PRC-PAG Pax6 Glut_3,155 PRC-PAG Pax6 Glut,19 MB Glut,Glut,119,4.8661647,5.9668245,0.773109243697479
2182,3383 ND-INC Foxd2 Glut_1,0790 ND-INC Foxd2 Glut_1,190 ND-INC Foxd2 Glut,19 MB Glut,Glut,93,4.6670055,5.630664,0.7741935483870968
2196,2468 PMv-TMv Pitx2 Glut_2,0606 PMv-TMv Pitx2 Glut_2,136 PMv-TMv Pitx2 Glut,14 HY Glut,Glut,2,2.0724778,2.0724778,0.5
2197,2457 STN-PSTN Pitx2 Glut_6,0603 STN-PSTN Pitx2 Glut_6,135 STN-PSTN Pitx2 Glut,14 HY Glut,Glut,4,5.766526,5.8292074,1.0
2198,2488 PH Pitx2 Glut_2,0611 PH Pitx2 Glut_2,138 PH Pitx2 Glut,14 HY Glut,Glut,31,3.8356273,4.7269893,0.6774193548387096
2200,2485 PH Pitx2 Glut_2,0611 PH Pitx2 Glut_2,138 PH Pitx2 Glut,14 HY Glut,Glut,31,4.499385,5.3731794,0.7741935483870968
2201,2496 PH Pitx2 Glut_2,0611 PH Pitx2 Glut_2,138 PH Pitx2 Glut,14 HY Glut,Glut,1,6.41086,6.41086,1.0
2205,2492 PH Pitx2 Glut_2,0611 PH Pitx2 Glut_2,138 PH Pitx2 Glut,14 HY Glut,Glut,1,0.0,0.0,0.0
2206,2495 PH Pitx2 Glut_2,0611 PH Pitx2 Glut_2,138 PH Pitx2 Glut,14 HY Glut,Glut,30,4.5087585,6.209643,0.7
2207,2483 PH Pitx2 Glut_1,0610 PH Pitx2 Glut_1,138 PH Pitx2 Glut,14 HY Glut,Glut,3,3.4014657,4.094434,0.6666666666666666
2209,2486 PH Pitx2 Glut_2,0611 PH Pitx2 Glut_2,138 PH Pitx2 Glut,14 HY Glut,Glut,13,4.789865,5.104623,0.8461538461538461
2210,2489 PH Pitx2 Glut_2,0611 PH Pitx2 Glut_2,138 PH Pitx2 Glut,14 HY Glut,Dopa,5,4.556547,5.711586,0.8
2211,2497 PH Pitx2 Glut_2,0611 PH Pitx2 Glut_2,138 PH Pitx2 Glut,14 HY Glut,Glut,9,3.8025827,5.1503525,0.6666666666666666
2212,2487 PH Pitx2 Glut_2,0611 PH Pitx2 Glut_2,138 PH Pitx2 Glut,14 HY Glut,Glut,4,4.452613,5.166399,0.75
2213,2756 MB-ant-ve Dmrta2 Glut_1,0681 MB-ant-ve Dmrta2 Glut_1,156 MB-ant-ve Dmrta2 Glut,19 MB Glut,Glut,27,4.52421,5.696393,0.7407407407407407
2214,2490 PH Pitx2 Glut_2,0611 PH Pitx2 Glut_2,138 PH Pitx2 Glut,14 HY Glut,Glut,12,5.661468,6.062607,0.9166666666666666
2215,2493 PH Pitx2 Glut_2,0611 PH Pitx2 Glut_2,138 PH Pitx2 Glut,14 HY Glut,Glut,24,2.9955761,4.3730273,0.5416666666666666
2216,2436 STN-PSTN Pitx2 Glut_2,0599 STN-PSTN Pitx2 Glut_2,135 STN-PSTN Pitx2 Glut,14 HY Glut,Glut,2,4.7967772,4.7967772,1.0
